peptide,repetition,simulation_name,weight,run_time
mut20,0,100-cells.10x,1,0.016040218999999745
mut12,0,100-cells.10x,1,0.016040218999999745
mut44,0,100-cells.10x,1,0.016040218999999745
mut15,0,100-cells.10x,1,0.016040218999999745
mut19,0,100-cells.10x,1,0.016040218999999745
mut39,0,100-cells.10x,1,0.016040218999999745
mut33,0,100-cells.10x,1,0.016040218999999745
mut26,0,100-cells.10x,1,0.016040218999999745
mut11,0,100-cells.10x,1,0.016040218999999745
mut28,0,100-cells.10x,1,0.016040218999999745
mut20,1,100-cells.10x,1,0.004200184000000107
mut12,1,100-cells.10x,1,0.004200184000000107
mut44,1,100-cells.10x,1,0.004200184000000107
mut15,1,100-cells.10x,1,0.004200184000000107
mut19,1,100-cells.10x,1,0.004200184000000107
mut39,1,100-cells.10x,1,0.004200184000000107
mut33,1,100-cells.10x,1,0.004200184000000107
mut26,1,100-cells.10x,1,0.004200184000000107
mut11,1,100-cells.10x,1,0.004200184000000107
mut28,1,100-cells.10x,1,0.004200184000000107
mut20,2,100-cells.10x,1,0.004684053000000077
mut12,2,100-cells.10x,1,0.004684053000000077
mut44,2,100-cells.10x,1,0.004684053000000077
mut15,2,100-cells.10x,1,0.004684053000000077
mut19,2,100-cells.10x,1,0.004684053000000077
mut39,2,100-cells.10x,1,0.004684053000000077
mut33,2,100-cells.10x,1,0.004684053000000077
mut26,2,100-cells.10x,1,0.004684053000000077
mut11,2,100-cells.10x,1,0.004684053000000077
mut28,2,100-cells.10x,1,0.004684053000000077
mut20,3,100-cells.10x,1,0.004254816999999633
mut12,3,100-cells.10x,1,0.004254816999999633
mut44,3,100-cells.10x,1,0.004254816999999633
mut15,3,100-cells.10x,1,0.004254816999999633
mut19,3,100-cells.10x,1,0.004254816999999633
mut39,3,100-cells.10x,1,0.004254816999999633
mut33,3,100-cells.10x,1,0.004254816999999633
mut26,3,100-cells.10x,1,0.004254816999999633
mut11,3,100-cells.10x,1,0.004254816999999633
mut28,3,100-cells.10x,1,0.004254816999999633
mut20,4,100-cells.10x,1,0.004347882000000247
mut12,4,100-cells.10x,1,0.004347882000000247
mut44,4,100-cells.10x,1,0.004347882000000247
mut15,4,100-cells.10x,1,0.004347882000000247
mut19,4,100-cells.10x,1,0.004347882000000247
mut39,4,100-cells.10x,1,0.004347882000000247
mut33,4,100-cells.10x,1,0.004347882000000247
mut26,4,100-cells.10x,1,0.004347882000000247
mut11,4,100-cells.10x,1,0.004347882000000247
mut28,4,100-cells.10x,1,0.004347882000000247
mut20,5,100-cells.10x,1,0.005077694000000577
mut12,5,100-cells.10x,1,0.005077694000000577
mut44,5,100-cells.10x,1,0.005077694000000577
mut15,5,100-cells.10x,1,0.005077694000000577
mut19,5,100-cells.10x,1,0.005077694000000577
mut39,5,100-cells.10x,1,0.005077694000000577
mut33,5,100-cells.10x,1,0.005077694000000577
mut26,5,100-cells.10x,1,0.005077694000000577
mut11,5,100-cells.10x,1,0.005077694000000577
mut28,5,100-cells.10x,1,0.005077694000000577
mut20,6,100-cells.10x,1,0.004484548000000643
mut12,6,100-cells.10x,1,0.004484548000000643
mut44,6,100-cells.10x,1,0.004484548000000643
mut15,6,100-cells.10x,1,0.004484548000000643
mut19,6,100-cells.10x,1,0.004484548000000643
mut39,6,100-cells.10x,1,0.004484548000000643
mut33,6,100-cells.10x,1,0.004484548000000643
mut26,6,100-cells.10x,1,0.004484548000000643
mut11,6,100-cells.10x,1,0.004484548000000643
mut28,6,100-cells.10x,1,0.004484548000000643
mut20,7,100-cells.10x,1,0.0047242999999994595
mut12,7,100-cells.10x,1,0.0047242999999994595
mut44,7,100-cells.10x,1,0.0047242999999994595
mut15,7,100-cells.10x,1,0.0047242999999994595
mut19,7,100-cells.10x,1,0.0047242999999994595
mut39,7,100-cells.10x,1,0.0047242999999994595
mut33,7,100-cells.10x,1,0.0047242999999994595
mut26,7,100-cells.10x,1,0.0047242999999994595
mut11,7,100-cells.10x,1,0.0047242999999994595
mut28,7,100-cells.10x,1,0.0047242999999994595
mut20,8,100-cells.10x,1,0.004237763999999977
mut12,8,100-cells.10x,1,0.004237763999999977
mut44,8,100-cells.10x,1,0.004237763999999977
mut15,8,100-cells.10x,1,0.004237763999999977
mut19,8,100-cells.10x,1,0.004237763999999977
mut39,8,100-cells.10x,1,0.004237763999999977
mut33,8,100-cells.10x,1,0.004237763999999977
mut26,8,100-cells.10x,1,0.004237763999999977
mut11,8,100-cells.10x,1,0.004237763999999977
mut28,8,100-cells.10x,1,0.004237763999999977
mut20,9,100-cells.10x,1,0.004144269999999395
mut12,9,100-cells.10x,1,0.004144269999999395
mut44,9,100-cells.10x,1,0.004144269999999395
mut15,9,100-cells.10x,1,0.004144269999999395
mut19,9,100-cells.10x,1,0.004144269999999395
mut39,9,100-cells.10x,1,0.004144269999999395
mut33,9,100-cells.10x,1,0.004144269999999395
mut26,9,100-cells.10x,1,0.004144269999999395
mut11,9,100-cells.10x,1,0.004144269999999395
mut28,9,100-cells.10x,1,0.004144269999999395
